cond,word
0,aircraft
0,haddock
1,alarm
1,armour
1,balloon
1,barrier
1,basket
1,bathrooms
1,bikes
1,boiler
1,bottles
1,bubbles
1,bucket
1,bullet
1,buses
1,cable
1,cakes
1,canal
1,candles
1,cannon
1,canvas
1,cargo
1,carpet
1,castle
1,ceiling
1,chamber
1,chimney
1,churches
1,circuit
1,cleaners
1,coffin
1,collar
1,cottage
1,cupboard
1,curtains
1,cushion
1,device
1,digger
1,dishes
1,display
1,drawer
1,dresses
1,engine
1,ferry
1,footage
1,fountain
1,frames
1,gadget
1,garage
1,gates
1,goggles
1,guitar
1,helmet
1,iron
1,jacket
1,jigsaw
1,jumper
1,keyboard
1,kitchens
1,ladder
1,laptop
1,mansion
1,meter
1,mines
1,missile
1,motor
1,necklace
1,needle
1,package
1,paddle
1,paddock
1,paintings
1,panel
1,papers
1,parcel
1,patches
1,pencil
1,perfume
1,phones
1,piano
1,pillow
1,planes
1,platform
1,pockets
1,powder
1,radar
1,railway
1,razor
1,robot
1,rocket
1,sausage
1,sculpture
1,shelter
1,slippers
1,sofa
1,speaker
1,spotlight
1,stadium
1,stages
1,staircase
1,studios
1,suitcase
1,tables
1,taxi
1,teapot
1,temple
1,terrace
1,theatres
1,timber
1,tower
1,tractor
1,trolley
1,trousers
1,trumpet
1,tunnel
1,vases
1,villa
1,violin
1,wallet
1,wardrobe
1,weapon
1,wheelchair
2,monkey
2,tiger
2,salmon
2,monkeys
2,chickens
2,eagle
2,lobster
2,wolves
2,snakes
2,pigeon
2,tigers
2,guinea
2,whales
2,squirrel
2,rabbits
2,rhino
2,dolphins
2,scallops
2,parrot
2,oyster
2,tortoise
2,pigeons
2,leopard
2,camel
2,cuckoo
2,giraffe
2,dolphin
2,panda
2,zebra
2,hamster